Part,Ward,Booth Address,Total,
1500186,4,"Gnana Jyothi Primary School,Room No.2, Yelahanka Newtown",1139,
1500187,4,"Gnana Jyothi Primary School,Room No.3, Yelahanka Newtown",905,
1500188,4,"Gnana Jyothi Primary School,Room No.4, Yelahanka Newtown",1111,
1500189,4,"Gnana Jyothi Primary School,Room No.5, Yelahanka Newtown",692,
1500190,1,"Oxford English High School, Room No.1, Near Raitha Santhe",1367,
1500191,1,"Oxford English High School, Room No.2, Near Raitha Santhe",1083,
1500192,1,"Oxford English High School, Room No.3, Near Raithara Santhe",1263,
1500193,1,"Oxford English High School, Room No.5, Near Raithara Santhe",1343,
1500194,1,"Oxford English High School, Room No.5, Near Raithrara Santhe",883,
1500195,1,"Govt. Kannada Middle School,Room No.1, Near NES Office",968,
1500196,1,"Govt. Kannada Middle School,Room No.2, Near NES Office",1023,
1500197,1,"MEC School, Room No.1, Gandhinagara Yelahanka",1463,
1500198,1,"Govt Kannada Middle School,Room No.3, Near NES Office",1180,
1500199,2,Jeeshnu Haritage School Suggappa Layout Yelahanka,1138,
1500200,1,"MEC School,Room No.2,Gandhingara Yelahanka",936,
1500201,1,"MEC School,Room No.3,Gandhingara Yelahanka",841,
1500202,1,"Nammura Govt. Higher Primary School,Room No-5, O.M.S Road, Yelahanka",1383,
1500203,1,"Nammura Govt. Higher Primary School,Room No-6, O.M.S Road, Yelahanka",1186,
1500204,4,"Govt. Higher Primary School, Room No 1, Allasandra",1247,
1500205,4,"Govt. Higher Primary School, Room No 2, Allalasandra",1136,
1500206,4,"Govt. Higher Primary School, Room No 3, Allalasandra",724,
1500207,4,"Govt. Higher Primary School, Room No 4, Allalasandra",1297,
1500208,4,"Govt. Higher Primary School,  Room No 5, Allalasandra",1032,
1500209,4,Anganavadi Kendra Allalasandra Yelahanka Room No-1,1013,
1500210,4,"Gnana Deepika English School,   Room No 1, Judicial Layout",1577,
1500211,4,"Gnana Deepika English School,Room No 2, Judicial Layout",1413,
1500212,4,"Gnana Deepika English School, Room.No.3, Judicial Layout",1402,
1500213,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-1,1223,
1500214,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-2,643,
1500215,4,Brite Educational Institution 3rd Phase Yelahanka new town Room No-3,1329,
1500216,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-4,1152,
1500217,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-5,966,
1500218,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-6,1393,
1500219,4,Brite Educational Institution Someswaranagara Yelahanka new town Room No-7,1495,
1500220,4,Govt High School 3rd Phase Yelahanka new town Room No-1,1416,
1500221,4,Govt High School 3rd Phase Yelahanka new town Room No-2,1525,
1500222,4,Govt Model Primary School 3rd Phase Yelahanka new town Room No-1,1579,
1500223,4,Govt Model Primary School 3rd Phase Yelahanka new town Room No-2,1525,
1500224,4,Govt Model Primary School 3rd Phase Yelahanka new town Room No-3,1459,
1500225,4,Govt Model Primary School 3rd Phase Yelahanka new town Room No-4,1397,
1500226,4,Govt Model Primary School 3rd Phase Yelahanka new town Room No-5,1286,
1500227,3,"Nammura Govt Modal Primary School,  Room No 1, Dodda Betta Halli",1122,
1500228,3,"Nammura Govt Modal Primary School,  Room No 2, Dodda Betta Halli",1404,
1500229,3,"Nammura Govt Modal Primary School,  Room No 3, Dodda Betta Halli",1129,
1500230,3,"Nammura Govt Modal Primary School,  Room No 4, Dodda Betta Halli",1076,
1500231,3,"Nammura Govt Modal Primary School,  Room No 5, Dodda Betta Halli",751,
1500232,3,"Nammura Govt Urdu Lower Primary School Room No 1, Chikka Betta Halli",1341,
1500233,3,"Nammura Govt Urdu Lower Primary School Room No 2, Chikka Betta Halli",965,
1500234,3,Sambram Institute of Technology Chikkabettahalli Room No-1,1264,
1500235,3,Sambram Institute of Technology Chikkabettahalli Room No-2,1119,
1500236,3,Sambram Institute of Technology Chikkabettahalli Room No-3,1245,
1500237,3,Sambram Institute of Technology Chikkabettahalli Room No-4,1298,
1500238,3,"Oriental English School, Room No 1, Chikka Betta Halli",1362,
1500239,3,"Oriental English School, Room No 2, Chikka Betta Halli",1363,
1500240,3,"Oriental English School, Room No 3, Chikka Betta Halli",767,
1500241,3,"Oriental English School, Room No 4, Chikka Betta Halli",1203,
1500242,3,"Oriental English School, Room No 5, Chikka Betta Halli",1142,
1500243,999,"Govt Lower Primary School, Room No 1, Vadera Halli Layout",1252,
1500244,999,"Govt Lower Primary School, Room No 2, Vadera Halli Layout",1320,
1500245,999,"Govt Lower School, Room No 3, Vadera Halli Layout",1259,
1500246,999,"Govt Urdu Primary School, Medi Agrahara",1530,
1500247,999,Govt Higher Primary School Guniagrahara Room No-1,935,
1500248,999,Govt Higher Primary School Guniagrahara Room No-2,969,
1500249,999,"Govt Higher Primary School Room No 1, Kumbara Halli",940,
1500250,999,"Govt Higher Primary School Room No .2, Kumbara Halli",873,
1500251,999,"Govt. Lower Primary School, Kempapura",704,
1500252,999,Govt Lower Primary School Tharabana Halli Room No-1,1129,
1500253,999,Govt Lower Primary School Tharabana Halli Room No-2,1249,
1500254,999,"Govt Lower Primary School, Sasuve Ghatta",801,
1500255,999,"Govt Higher Primary School, Vadera Halli",719,
1500256,999,"Govt Higher Primary School, Pilla Halli Room No-1",955,
1500257,999,"Govt Higher Primary School, Pilla Halli Room No-2",788,
1500258,999,"Govt Higher Primary School, Nagarura Room No-1",764,
1500259,999,"Govt Higher Primary School, Nagarura Room No-2",1034,
1500260,999,Acharya Guruparampara Vidyalaya Dasanapura Room No-1,1262,
1500261,999,Acharya Guruparampara Vidyalaya Dasanapura Room No-2,921,
1500262,999,Acharya Guruparampara Vidyalaya Dasanapura Room No-3,898,
1500263,999,Acharya Guruparampara Vidyalaya Dasanapura Room No-4,1130,
1500264,999,"Govt  High  School, Room No-1, Heggada Devana Pura",866,
1500265,999,"Govt  High  School, Room No-3, Heggada Devana Pura",717,
1500266,999,"Govt Lower Primary School, Room No 2, Heggada Devana Pura",1188,
1500267,999,"Govt Higher Primary School, Aluru Room No-1",1162,
1500268,999,"Govt Higher Primary School, Aluru Room No-2",908,
1500269,999,"Govt Higher Primary School Room No 1, Soladevana Halli",1165,
1500270,999,"Govt Higher Primary School Room No 2, Soladevana Halli",1215,
